"","Carat","Colour","Clarity","Cut","Certification","Polish","Symmetry","Price","Wholesaler"
"366",0.3,"2-J","8-VS1","5-X","GIA","4-V","5-X",520,3
"367",0.3,"2-J","8-VS1","4-V","GIA","4-V","4-V",520,3
"368",0.3,"2-J","8-VS1","5-X","GIA","4-V","4-V",520,3
"369",0.3,"2-J","8-VS1","4-V","GIA","4-V","4-V",520,3
"370",0.3,"2-J","8-VS1","5-X","GIA","3-G","4-V",520,3
"371",0.3,"2-J","8-VS1","5-X","GIA","4-V","4-V",520,3
"372",0.3,"2-J","8-VS1","3-G","GIA","5-X","4-V",520,3
"373",0.3,"2-J","8-VS1","5-X","GIA","4-V","4-V",520,3
"374",0.3,"2-J","8-VS1","5-X","GIA","5-X","5-X",520,3
"375",0.3,"2-J","8-VS1","6-I","GIA","4-V","3-G",520,3
"376",0.3,"2-J","8-VS1","4-V","GIA","4-V","4-V",520,3
"377",0.3,"2-J","8-VS1","6-I","GIA","4-V","4-V",520,3
"378",0.3,"2-K","9-VVS2","5-X","GIA","4-V","4-V",520,3
"379",0.3,"3-G","5-SI2","6-I","GIA","5-X","4-V",531,3
"380",0.3,"3-I","6-SI1","5-X","GIA","4-V","4-V",531,3
"381",0.3,"3-I","6-SI1","4-V","GIA","3-G","4-V",531,3
"382",0.3,"3-I","6-SI1","6-I","GIA","4-V","4-V",531,3
"383",0.3,"3-I","6-SI1","5-X","GIA","5-X","4-V",531,3
"384",0.3,"4-D","5-SI2","3-G","GIA","4-V","4-V",544,3
"385",0.3,"3-G","6-SI1","4-V","GIA","4-V","4-V",544,3
"386",0.3,"4-E","5-SI2","6-I","GIA","5-X","5-X",547,3
"387",0.3,"4-E","5-SI2","5-X","GIA","5-X","4-V",547,3
"388",0.3,"3-H","6-SI1","3-G","GIA","5-X","5-X",547,3
"389",0.3,"3-H","6-SI1","4-V","GIA","4-V","3-G",547,3
"390",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"391",0.3,"3-H","6-SI1","5-X","GIA","3-G","3-G",547,3
"392",0.3,"3-H","6-SI1","6-I","GIA","5-X","5-X",547,3
"393",0.3,"3-H","6-SI1","4-V","GIA","4-V","3-G",547,3
"394",0.3,"3-I","7-VS2","5-X","GIA","5-X","4-V",547,3
"395",0.3,"4-E","5-SI2","4-V","GIA","3-G","3-G",547,3
"396",0.3,"4-E","5-SI2","4-V","GIA","5-X","5-X",547,3
"397",0.3,"4-E","5-SI2","4-V","GIA","3-G","4-V",547,3
"398",0.3,"4-E","5-SI2","4-V","GIA","4-V","4-V",547,3
"399",0.3,"3-H","6-SI1","3-G","GIA","4-V","3-G",547,3
"400",0.3,"3-H","6-SI1","4-V","GIA","3-G","5-X",547,3
"401",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"402",0.3,"3-H","6-SI1","5-X","GIA","4-V","5-X",547,3
"403",0.3,"3-H","6-SI1","5-X","GIA","3-G","3-G",547,3
"404",0.3,"3-H","6-SI1","5-X","GIA","3-G","4-V",547,3
"405",0.3,"3-H","6-SI1","4-V","GIA","5-X","4-V",547,3
"406",0.3,"3-H","6-SI1","4-V","GIA","5-X","4-V",547,3
"407",0.3,"3-H","6-SI1","4-V","GIA","4-V","4-V",547,3
"408",0.3,"3-H","6-SI1","4-V","GIA","4-V","4-V",547,3
"409",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"410",0.3,"3-H","6-SI1","4-V","GIA","5-X","4-V",547,3
"411",0.3,"3-H","6-SI1","5-X","GIA","5-X","4-V",547,3
"412",0.3,"3-H","6-SI1","4-V","GIA","4-V","4-V",547,3
"413",0.3,"3-H","6-SI1","4-V","GIA","5-X","4-V",547,3
"414",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"415",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"416",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"417",0.3,"3-H","6-SI1","6-I","GIA","3-G","4-V",547,3
"418",0.3,"3-H","6-SI1","4-V","GIA","5-X","4-V",547,3
"419",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",547,3
"420",0.3,"3-I","7-VS2","4-V","GIA","4-V","5-X",547,3
"421",0.3,"3-I","7-VS2","5-X","GIA","4-V","4-V",547,3
"422",0.3,"3-I","7-VS2","5-X","GIA","5-X","5-X",547,3
"423",0.3,"3-I","7-VS2","6-I","GIA","4-V","4-V",547,3
"424",0.3,"3-I","7-VS2","4-V","GIA","5-X","4-V",547,3
"425",0.3,"3-I","7-VS2","4-V","GIA","4-V","4-V",547,3
"426",0.3,"3-I","7-VS2","6-I","GIA","4-V","4-V",547,3
"427",0.3,"3-I","7-VS2","5-X","GIA","4-V","4-V",547,3
"428",0.3,"3-I","7-VS2","6-I","GIA","5-X","4-V",547,3
"429",0.3,"3-I","7-VS2","5-X","GIA","4-V","5-X",547,3
"430",0.3,"3-I","7-VS2","5-X","GIA","5-X","4-V",547,3
"431",0.3,"3-I","7-VS2","6-I","GIA","3-G","4-V",547,3
"432",0.3,"3-I","7-VS2","6-I","GIA","3-G","4-V",547,3
"433",0.3,"3-I","7-VS2","6-I","GIA","5-X","4-V",547,3
"434",0.3,"3-I","7-VS2","6-I","GIA","5-X","4-V",547,3
"435",0.3,"2-K","10-VVS1","5-X","GIA","5-X","4-V",547,3
"436",0.3,"2-K","10-VVS1","4-V","GIA","5-X","4-V",547,3
"437",0.3,"3-H","6-SI1","3-G","GIA","4-V","4-V",559,3
"438",0.3,"3-H","6-SI1","5-X","GIA","4-V","4-V",559,3
"439",0.3,"3-H","6-SI1","4-V","GIA","5-X","5-X",559,3
"440",0.3,"3-H","6-SI1","5-X","GIA","4-V","5-X",559,3
